time,ghi,dni,dhi,temp_c,wind_ms,pressure_pa
20090101:0000,0.0,0.0,0.0,7.71,1.46,99020.0
20090101:0100,0.0,0.0,0.0,7.26,1.5,98980.0
20090101:0200,0.0,0.0,0.0,6.81,1.53,98940.0
20090101:0300,0.0,0.0,0.0,6.36,1.56,98930.0
20090101:0400,0.0,0.0,0.0,5.91,1.59,98880.0
20090101:0500,0.0,0.0,0.0,5.46,1.62,98870.0
20090101:0600,0.0,0.0,0.0,5.01,1.66,98900.0
20090101:0700,0.0,0.0,0.0,4.56,1.69,98890.0
20090101:0800,61.0,85.81,50.0,5.83,1.59,98900.0
20090101:0900,186.0,227.09,123.0,8.06,1.38,98950.0
20090101:1000,308.0,365.39,165.0,10.75,1.38,98990.0
20090101:1100,372.0,376.42,198.0,12.38,1.59,99020.0
20090101:1200,393.0,381.24,208.0,13.74,2.14,98940.0
20090101:1300,328.0,239.76,218.0,14.6,2.55,98860.0
20090101:1400,184.0,41.59,168.0,14.91,2.55,98800.0
20090101:1500,175.0,212.69,118.0,15.02,2.48,98790.0
20090101:1600,60.0,145.75,43.0,14.43,2.14,98800.0
20090101:1700,0.0,0.0,0.0,13.23,2.34,98820.0
20090101:1800,0.0,0.0,0.0,12.15,2.21,98860.0
20090101:1900,0.0,0.0,0.0,11.6,2.14,98870.0
20090101:2000,0.0,0.0,0.0,10.7,1.86,98870.0
20090101:2100,0.0,0.0,0.0,9.8,1.79,98870.0
20090101:2200,0.0,0.0,0.0,8.92,1.93,98880.0
20090101:2300,0.0,0.0,0.0,8.14,1.86,98870.0
20090102:0000,0.0,0.0,0.0,7.51,1.72,98840.0
20090102:0100,0.0,0.0,0.0,6.78,1.72,98800.0
20090102:0200,0.0,0.0,0.0,6.31,1.79,98770.0
20090102:0300,0.0,0.0,0.0,6.13,1.79,98770.0
20090102:0400,0.0,0.0,0.0,6.16,1.72,98720.0
20090102:0500,0.0,0.0,0.0,6.29,1.72,98710.0
20090102:0600,0.0,0.0,0.0,6.46,1.72,98710.0
20090102:0700,0.0,0.0,0.0,7.13,1.59,98720.0
20090102:0800,0.0,0.0,0.0,7.31,1.59,98750.0
20090102:0900,0.0,0.0,0.0,8.86,1.31,98780.0
20090102:1000,204.0,61.24,180.0,11.13,1.17,98800.0
20090102:1100,0.0,0.0,0.0,13.39,1.38,98800.0
20090102:1200,345.0,224.02,236.0,14.9,1.72,98730.0
20090102:1300,0.0,0.0,0.0,15.69,1.93,98640.0
20090102:1400,321.0,450.01,147.0,15.92,2.07,98570.0
20090102:1500,0.0,0.0,0.0,15.84,2.0,98530.0
20090102:1600,83.0,420.37,33.0,15.33,1.52,98540.0
20090102:1700,0.0,0.0,0.0,13.77,1.72,98560.0
20090102:1800,0.0,0.0,0.0,12.33,1.86,98580.0
20090102:1900,0.0,0.0,0.0,11.42,1.93,98540.0
20090102:2000,0.0,0.0,0.0,10.55,2.07,98550.0
20090102:2100,0.0,0.0,0.0,9.93,2.07,98550.0
20090102:2200,0.0,0.0,0.0,9.48,2.0,98530.0
20090102:2300,0.0,0.0,0.0,9.21,2.07,98540.0
20090103:0000,0.0,0.0,0.0,9.03,2.07,98530.0
20090103:0100,0.0,0.0,0.0,8.89,2.0,98490.0
20090103:0200,0.0,0.0,0.0,8.63,1.93,98480.0
20090103:0300,0.0,0.0,0.0,8.69,1.72,98460.0
20090103:0400,0.0,0.0,0.0,8.41,1.52,98450.0
20090103:0500,0.0,0.0,0.0,8.25,1.31,98400.0
20090103:0600,0.0,0.0,0.0,8.27,1.17,98400.0
20090103:0700,0.0,0.0,0.0,6.9,1.38,98380.0
20090103:0800,24.0,0.0,24.0,7.11,1.1,98420.0
20090103:0900,0.0,0.0,0.0,8.54,0.76,98430.0
20090103:1000,152.0,10.19,148.0,10.0,0.48,98460.0
20090103:1100,0.0,0.0,0.0,10.94,0.34,98480.0
20090103:1200,160.0,2.05,159.0,12.18,0.41,98410.0
20090103:1300,0.0,0.0,0.0,12.21,0.76,98280.0
20090103:1400,174.0,28.3,163.0,12.47,1.03,98220.0
20090103:1500,0.0,0.0,0.0,12.37,1.31,98190.0
20090103:1600,37.0,8.24,36.0,11.96,1.24,98180.0
20090103:1700,0.0,0.0,0.0,11.27,1.31,98150.0
20090103:1800,0.0,0.0,0.0,10.57,1.1,98160.0
20090103:1900,0.0,0.0,0.0,9.94,1.52,98100.0
20090103:2000,0.0,0.0,0.0,9.73,1.52,98080.0
20090103:2100,0.0,0.0,0.0,9.46,1.45,98100.0
20090103:2200,0.0,0.0,0.0,8.97,1.38,98110.0
20090103:2300,0.0,0.0,0.0,8.49,1.31,98110.0
20090104:0000,0.0,0.0,0.0,7.91,1.52,98110.0
20090104:0100,0.0,0.0,0.0,7.16,1.72,98100.0
20090104:0200,0.0,0.0,0.0,7.04,1.79,98100.0
20090104:0300,0.0,0.0,0.0,7.64,2.0,98070.0
20090104:0400,0.0,0.0,0.0,7.86,2.41,98070.0
20090104:0500,0.0,0.0,0.0,7.98,2.55,98070.0
20090104:0600,0.0,0.0,0.0,8.11,2.62,98130.0
20090104:0700,0.0,0.0,0.0,7.67,2.07,98160.0
20090104:0800,23.0,0.0,23.0,8.02,2.07,98230.0
20090104:0900,0.0,0.0,0.0,9.21,2.07,98320.0
20090104:1000,174.0,25.42,164.0,10.1,2.28,98410.0
20090104:1100,0.0,0.0,0.0,10.2,2.76,98460.0
20090104:1200,119.0,0.0,119.0,9.71,3.24,98460.0
20090104:1300,0.0,0.0,0.0,9.18,3.24,98450.0
20090104:1400,45.0,0.0,45.0,8.99,2.9,98480.0
20090104:1500,0.0,0.0,0.0,9.0,2.28,98510.0
20090104:1600,11.0,0.0,11.0,8.91,2.0,98550.0
20090104:1700,0.0,0.0,0.0,8.54,1.79,98600.0
20090104:1800,0.0,0.0,0.0,8.06,1.72,98650.0
20090104:1900,0.0,0.0,0.0,8.43,1.66,98680.0
20090104:2000,0.0,0.0,0.0,8.28,1.59,98690.0
20090104:2100,0.0,0.0,0.0,8.12,1.59,98740.0
20090104:2200,0.0,0.0,0.0,7.67,1.66,98760.0
20090104:2300,0.0,0.0,0.0,7.27,1.72,98760.0
20090105:0000,0.0,0.0,0.0,6.73,1.79,98730.0
20090105:0100,0.0,0.0,0.0,6.11,1.72,98690.0
20090105:0200,0.0,0.0,0.0,5.58,1.66,98680.0
20090105:0300,0.0,0.0,0.0,5.21,1.59,98640.0
20090105:0400,0.0,0.0,0.0,4.64,1.59,98590.0
20090105:0500,0.0,0.0,0.0,4.35,1.52,98570.0
20090105:0600,0.0,0.0,0.0,4.04,1.52,98560.0
20090105:0700,0.0,0.0,0.0,3.13,1.59,98570.0
20090105:0800,91.0,382.01,42.0,2.85,1.45,98580.0
20090105:0900,0.0,0.0,0.0,5.21,1.1,98630.0
20090105:1000,402.0,854.78,65.0,7.87,1.17,98670.0
20090105:1100,0.0,0.0,0.0,9.28,1.17,98650.0
20090105:1200,484.0,734.93,123.0,10.46,1.38,98580.0
20090105:1300,0.0,0.0,0.0,11.42,1.86,98450.0
20090105:1400,245.0,137.35,191.0,11.71,2.0,98380.0
20090105:1500,0.0,0.0,0.0,11.72,2.28,98340.0
